,M+1,M+2,M+3
387,0.04925,0.00875,0.52075
388,0.04975,0.009,0.52125
389,0.04975,0.009,0.522
390,0.0495,0.00925,0.52225
391,0.04975,0.00925,0.523
392,0.05025,0.00925,0.52425
393,0.0505,0.00925,0.524
394,0.05075,0.00975,0.5245
395,0.051,0.00975,0.52525
396,0.0515,0.00975,0.526
397,0.05175,0.01,0.5265
398,0.05225,0.01025,0.52675
399,0.0525,0.01025,0.528
400,0.0525,0.01025,0.52975
401,0.05275,0.01025,0.53075
402,0.05375,0.01025,0.53175
403,0.054,0.01025,0.532
404,0.054,0.01025,0.533
405,0.054,0.01025,0.53325
406,0.0545,0.01025,0.5335
407,0.05475,0.01075,0.5335
408,0.05475,0.0105,0.534
409,0.05525,0.0105,0.53525
410,0.0555,0.0105,0.53525
411,0.05575,0.01075,0.5365
412,0.05575,0.01075,0.53625
413,0.05625,0.011,0.53725
414,0.05675,0.011,0.5375
415,0.057,0.01125,0.53675
416,0.0575,0.01125,0.538
417,0.05825,0.01125,0.53775
418,0.058,0.01125,0.539
419,0.058,0.01125,0.53925
420,0.05875,0.011,0.53875
421,0.059,0.011,0.539
422,0.05975,0.011,0.539
423,0.06,0.011,0.53975
424,0.0605,0.0115,0.54025
425,0.0605,0.01175,0.5405
426,0.06125,0.0115,0.54075
427,0.06125,0.0115,0.5415
428,0.06125,0.01175,0.542
429,0.061,0.01175,0.5425
430,0.06125,0.012,0.543
431,0.06125,0.01225,0.54325
432,0.06125,0.01225,0.54425
433,0.0615,0.0125,0.545
434,0.06175,0.0125,0.5455
435,0.06175,0.01275,0.546
436,0.06175,0.013,0.547
437,0.06225,0.013,0.547
438,0.06225,0.01275,0.54775
439,0.0625,0.0125,0.549
440,0.0625,0.0125,0.54925
441,0.0625,0.0125,0.5495
442,0.06225,0.0125,0.55025
443,0.0625,0.0125,0.551
444,0.0635,0.01275,0.55225
445,0.06425,0.01275,0.55275
446,0.06475,0.01275,0.5525
447,0.065,0.01275,0.55225
448,0.06525,0.01275,0.55325
449,0.06525,0.01275,0.55375
450,0.06575,0.01275,0.554
451,0.06575,0.013,0.55475
452,0.06625,0.01325,0.55475
453,0.06625,0.0135,0.55475
454,0.06575,0.01375,0.555
455,0.066,0.014,0.55525
456,0.06575,0.01425,0.5565
457,0.06575,0.01425,0.55675
458,0.066,0.01425,0.558
459,0.066,0.01425,0.55825
460,0.06625,0.0145,0.55875
461,0.067,0.0145,0.5595
462,0.06675,0.01425,0.56025
463,0.06725,0.0145,0.561
464,0.06725,0.01475,0.562
465,0.06675,0.015,0.56325
466,0.067,0.015,0.56375
467,0.067,0.015,0.5635
468,0.06775,0.015,0.56425
469,0.06825,0.015,0.56475
470,0.0685,0.015,0.56425
471,0.06875,0.015,0.565
472,0.0685,0.015,0.56525
473,0.06825,0.015,0.56625
474,0.06775,0.015,0.5665
475,0.06825,0.01475,0.5665
476,0.06925,0.01475,0.56575
477,0.07,0.01475,0.56725
478,0.07025,0.015,0.56775
479,0.07075,0.01475,0.56875
480,0.07125,0.01475,0.569
481,0.07125,0.01425,0.57075
