,M+1,M+2,M+3,M+4
423,0.0012,0.1116,0.0296,0.0068
424,0.0012,0.1112,0.0292,0.0068
425,0.0016,0.1116,0.0296,0.0064
426,0.0016,0.112,0.0296,0.0064
427,0.0016,0.1128,0.0292,0.0064
428,0.002,0.1128,0.0296,0.0064
429,0.002,0.1116,0.03,0.006
430,0.002,0.1132,0.03,0.006
431,0.002,0.1108,0.0308,0.006
432,0.002,0.112,0.03,0.006
433,0.002,0.1112,0.0292,0.0064
434,0.002,0.1136,0.0308,0.0072
435,0.002,0.1132,0.0316,0.0072
436,0.002,0.1136,0.0308,0.0072
437,0.002,0.1128,0.0316,0.0072
438,0.0016,0.1124,0.0316,0.0076
439,0.0016,0.1132,0.0316,0.0072
440,0.0016,0.1148,0.0316,0.0072
441,0.0016,0.1164,0.0316,0.0072
442,0.0012,0.1168,0.032,0.0072
443,0.0016,0.116,0.032,0.0072
444,0.0016,0.1164,0.0312,0.0068
445,0.0016,0.118,0.0324,0.0068
446,0.0016,0.118,0.032,0.0068
447,0.0016,0.1176,0.0328,0.0068
448,0.0016,0.116,0.0336,0.0072
449,0.0016,0.1132,0.034,0.0076
450,0.002,0.1136,0.0344,0.0076
451,0.002,0.1172,0.034,0.0076
452,0.002,0.116,0.0336,0.0076
453,0.002,0.1156,0.0348,0.0076
454,0.002,0.1168,0.0352,0.0076
455,0.002,0.1172,0.0344,0.0072
456,0.002,0.1192,0.0352,0.0076
457,0.0024,0.12,0.0344,0.008
458,0.0024,0.1212,0.0348,0.008
459,0.0024,0.1212,0.0328,0.0084
460,0.0024,0.1224,0.0328,0.0088
461,0.0024,0.1196,0.0324,0.0088
462,0.0024,0.1192,0.0332,0.0092
463,0.002,0.12,0.0332,0.0092
464,0.002,0.1204,0.0328,0.0092
465,0.0024,0.1204,0.0324,0.0092
466,0.002,0.1208,0.0324,0.0092
467,0.002,0.1208,0.0328,0.0092
468,0.002,0.1204,0.0332,0.0088
469,0.002,0.1196,0.0316,0.0084
470,0.002,0.1196,0.032,0.0084
471,0.0016,0.1212,0.0316,0.0088
472,0.0016,0.1204,0.0312,0.0084
473,0.002,0.12,0.0328,0.0084
474,0.0024,0.1208,0.0324,0.0084
475,0.0024,0.1208,0.0336,0.0084
476,0.0024,0.1212,0.0328,0.0088
477,0.0028,0.1208,0.0328,0.0088
478,0.0028,0.1208,0.0324,0.0088
479,0.0028,0.1204,0.0332,0.0088
480,0.0028,0.1228,0.0328,0.0088
481,0.0028,0.1232,0.0328,0.0092
482,0.0028,0.1232,0.0324,0.0088
483,0.0028,0.1248,0.0324,0.0088
484,0.0028,0.1276,0.032,0.0092
485,0.0028,0.1276,0.0328,0.0096
486,0.0028,0.1264,0.0328,0.0092
487,0.0028,0.1268,0.0336,0.0092
488,0.0028,0.1292,0.0332,0.0096
489,0.0028,0.1284,0.0328,0.0092
490,0.0028,0.128,0.0328,0.0092
491,0.0028,0.1268,0.0336,0.0088
492,0.0028,0.1272,0.0336,0.0088
493,0.0028,0.1256,0.034,0.0092
494,0.0028,0.126,0.0336,0.0092
495,0.0028,0.1256,0.0348,0.0092
496,0.0028,0.1256,0.0348,0.0092
497,0.0028,0.1264,0.0348,0.0092
