,M+1,M+2,M+3,M+4,M+5
323,0.0,0.22,0.04,0.18,0.02
324,0.0,0.16,0.04,0.24,0.02
325,0.0,0.14,0.04,0.18,0.06
326,0.0,0.18,0.02,0.16,0.06
327,0.0,0.2,0.0,0.16,0.06
328,0.0,0.2,0.0,0.14,0.08
329,0.0,0.24,0.0,0.06,0.1
330,0.0,0.22,0.0,0.06,0.12
331,0.0,0.22,0.02,0.04,0.1
332,0.0,0.26,0.0,0.06,0.08
333,0.0,0.24,0.0,0.08,0.12
334,0.0,0.24,0.0,0.04,0.12
335,0.0,0.22,0.0,0.04,0.16
336,0.0,0.24,0.02,0.04,0.1
337,0.0,0.26,0.04,0.06,0.04
338,0.0,0.26,0.04,0.08,0.06
339,0.0,0.26,0.08,0.06,0.06
340,0.0,0.22,0.06,0.08,0.06
341,0.0,0.24,0.04,0.06,0.06
342,0.0,0.22,0.02,0.1,0.04
343,0.0,0.22,0.02,0.12,0.04
344,0.0,0.28,0.04,0.08,0.02
345,0.0,0.22,0.06,0.1,0.04
346,0.0,0.22,0.08,0.12,0.04
347,0.0,0.3,0.06,0.08,0.02
348,0.0,0.34,0.06,0.08,0.0
349,0.0,0.4,0.04,0.08,0.02
350,0.0,0.42,0.04,0.04,0.02
351,0.0,0.32,0.04,0.08,0.04
352,0.0,0.26,0.04,0.12,0.04
353,0.0,0.24,0.06,0.18,0.02
354,0.0,0.26,0.06,0.18,0.02
355,0.0,0.22,0.06,0.18,0.04
356,0.0,0.26,0.04,0.14,0.04
357,0.0,0.22,0.06,0.16,0.0
358,0.0,0.22,0.06,0.16,0.0
359,0.0,0.24,0.08,0.14,0.0
360,0.0,0.28,0.08,0.14,0.0
361,0.0,0.24,0.04,0.18,0.0
362,0.0,0.26,0.04,0.2,0.0
363,0.0,0.24,0.08,0.16,0.0
364,0.0,0.3,0.06,0.12,0.0
365,0.0,0.34,0.06,0.1,0.02
366,0.0,0.36,0.08,0.1,0.02
367,0.0,0.34,0.08,0.12,0.02
368,0.0,0.34,0.08,0.08,0.02
369,0.0,0.3,0.08,0.1,0.0
370,0.0,0.26,0.1,0.1,0.0
371,0.0,0.3,0.08,0.12,0.0
372,0.0,0.28,0.14,0.08,0.04
373,0.0,0.28,0.14,0.08,0.06
374,0.0,0.28,0.12,0.12,0.04
375,0.0,0.24,0.1,0.14,0.06
376,0.0,0.26,0.1,0.12,0.06
377,0.0,0.22,0.08,0.16,0.04
378,0.0,0.22,0.06,0.16,0.04
379,0.0,0.24,0.08,0.18,0.02
380,0.0,0.26,0.08,0.18,0.0
381,0.0,0.24,0.08,0.2,0.02
382,0.0,0.2,0.08,0.2,0.08
383,0.0,0.2,0.08,0.2,0.04
384,0.0,0.18,0.04,0.2,0.02
385,0.0,0.22,0.04,0.22,0.02
386,0.0,0.18,0.04,0.24,0.02
387,0.0,0.14,0.04,0.22,0.06
388,0.0,0.14,0.04,0.2,0.08
389,0.0,0.18,0.04,0.18,0.1
390,0.0,0.14,0.06,0.18,0.08
391,0.0,0.16,0.12,0.14,0.04
