,M+1,M+2,M+3,M+4
348,0.0,0.18,0.14,0.04
349,0.0,0.24,0.12,0.04
350,0.0,0.24,0.16,0.04
351,0.0,0.22,0.18,0.04
352,0.0,0.22,0.22,0.02
353,0.0,0.22,0.24,0.04
354,0.0,0.28,0.2,0.04
355,0.0,0.3,0.22,0.06
356,0.0,0.3,0.2,0.06
357,0.0,0.28,0.18,0.08
358,0.0,0.26,0.18,0.08
359,0.0,0.24,0.2,0.04
360,0.0,0.26,0.18,0.06
361,0.0,0.3,0.18,0.06
362,0.0,0.32,0.2,0.04
363,0.0,0.32,0.22,0.04
364,0.0,0.34,0.26,0.04
365,0.0,0.36,0.24,0.04
366,0.0,0.4,0.2,0.04
367,0.0,0.38,0.24,0.02
368,0.0,0.3,0.22,0.02
369,0.0,0.24,0.22,0.02
370,0.0,0.2,0.2,0.04
371,0.0,0.22,0.2,0.02
372,0.0,0.24,0.2,0.0
373,0.0,0.26,0.2,0.0
374,0.0,0.26,0.22,0.0
375,0.0,0.2,0.26,0.02
376,0.0,0.22,0.22,0.02
377,0.0,0.26,0.22,0.02
378,0.0,0.22,0.24,0.02
379,0.0,0.22,0.22,0.04
380,0.0,0.2,0.22,0.04
381,0.0,0.22,0.22,0.02
382,0.0,0.22,0.26,0.04
383,0.0,0.22,0.24,0.04
384,0.0,0.16,0.22,0.06
385,0.0,0.16,0.24,0.06
386,0.0,0.2,0.2,0.04
387,0.0,0.18,0.2,0.04
388,0.0,0.16,0.24,0.04
389,0.0,0.18,0.22,0.06
390,0.0,0.18,0.22,0.06
391,0.0,0.18,0.22,0.06
392,0.0,0.18,0.26,0.06
393,0.0,0.2,0.28,0.06
394,0.0,0.2,0.28,0.06
395,0.0,0.2,0.28,0.08
396,0.0,0.16,0.3,0.1
397,0.0,0.18,0.34,0.08
398,0.0,0.18,0.3,0.08
399,0.0,0.18,0.24,0.06
400,0.0,0.2,0.22,0.06
401,0.0,0.2,0.24,0.06
402,0.0,0.22,0.22,0.06
403,0.0,0.2,0.24,0.08
404,0.0,0.14,0.24,0.06
405,0.0,0.16,0.2,0.06
406,0.0,0.16,0.16,0.08
407,0.0,0.12,0.16,0.08
408,0.0,0.12,0.16,0.1
409,0.0,0.12,0.16,0.1
410,0.0,0.18,0.16,0.06
411,0.0,0.18,0.18,0.06
412,0.0,0.18,0.16,0.06
413,0.0,0.2,0.18,0.08
414,0.0,0.26,0.14,0.08
415,0.0,0.24,0.14,0.08
416,0.0,0.22,0.1,0.08
417,0.0,0.24,0.12,0.08
418,0.0,0.24,0.12,0.08
419,0.0,0.22,0.12,0.08
420,0.0,0.22,0.12,0.06
421,0.0,0.22,0.12,0.06
422,0.0,0.2,0.1,0.08
423,0.0,0.2,0.08,0.08
424,0.0,0.26,0.08,0.1
425,0.0,0.28,0.08,0.06
426,0.0,0.28,0.06,0.06
427,0.0,0.26,0.08,0.06
428,0.0,0.3,0.08,0.04
